65c4 6971 51fd 48ec 29cd b8ab f0f9 e144
7ec0 54f8 19e8 e78f 7458 2c63 319d c998
6432 0db7 3158 a15a 275d 0515 58eb 5ed6
a9b0 cfc4 99b4 5411 0e80 7443 213d de85
72e9 3ca1 43e1 fe67 3c01 7e97 e8dc 6994
8f3a 5c2a ecb0 3bfb 32ad 3c54 ee1a db5e
001a fc41 f9f8 a83a f929 d1e6 053e 7c94
77d8 bc63 89f9 5ebb a89b 0d97 b1e9 f1b3
05ef f502 e9a3 38e7 ca09 c9d2 4847 66bf
1d23 1ea8 1c79 64c7 1671 58c7 5c4b 7b61
3b70 6426 139c 0bde a8d6 aef2 1910 ad3b
33cf e152 4847 175e bb6d 201b ba9b 7ff7
0be1 181c 7d21 fa29 f8a4 1913 b7c8 4ce8
9a30 3ae0 794d 3f36 be5d 4c77 f8c9 6e05
ac86 212b aa18 55a2 be70 b771 3906 5ed3
3694 b3ad e0f0 e69c 4f30 154b ff80 4ea9
0a70 d6b0 8a29 564a 9a08 bed7 0c18 aa44
ae5b f18e 4ed5 2f9b 0b40 e704 c633 afcf
a386 7d2d add4 7647 dc30 1cee 4ac6 30f4
2221 876e f9b0 0706 f6ee 09bb 20b8 86c3
3c07 f1ee db67 31b7 9b50 a3e3 14d3 db36
f75e a2f0 10a8 f607 9601 bcb6 be46 7af8
4b69 e623 d218 da6b 6a7e 4e7e 5125 b34a
8653 3896 fb33 9b92 3255 46ee 9bbe ebe7
